date,frontier_usd_mtok,floor_usd_mtok,gpu_usd_per_hour,gap,industrial_token_share,copper_phase,credit_idx,note
2026-01-15,6.2,0.95,2.35,24,30,2,1,示例回填
2026-02-01,6.0,0.90,2.28,24,31,2,1,示例回填
2026-02-15,5.8,0.85,2.20,23,32,2,1,示例回填
2026-03-01,5.6,0.80,2.12,23,33,2,1,示例回填
2026-03-15,5.4,0.74,2.05,22,34,2,2,示例回填
2026-04-01,5.2,0.70,2.00,22,35,2,2,示例回填
2026-04-15,5.0,0.66,1.96,21,36,2,2,示例回填
2026-05-01,4.9,0.62,1.90,20,37,2,2,示例回填
2026-05-15,4.8,0.58,1.86,20,38,2,2,示例回填
2026-06-01,4.7,0.55,1.85,19,38,2,2,示例回填
2026-06-15,4.6,0.52,1.78,19,39,2,2,示例回填
2026-07-01,4.5,0.50,1.72,18,40,2,2,示例回填
2026-07-17,17.064,0.105,1.72,18.0,40.0,2,2,
2026-07-18,17.064,0.105,1.72,18.0,40.0,2,2,
2026-07-19,17.064,0.105,1.72,18.0,40.0,2,2,
